扮	xrué	2%
扮	preǹ	
扮	pyon̄	2%
扮	pyoń	2%
邦	pruŋ̄	
垹	pruŋ̄	
𤰫	pruŋ̄	
捠	preŋ̄	
梆	pruŋ̄	
浜	praŋ́	2̄%
浜	preŋ̄	
㨍	paŋ̄	
幫	paŋ̄	
𨢐	paŋ̄	
鞤	paŋ̄	
𣮧	paŋ́	
綁	pruŋ́	
榜	braŋ̄	2̄%
榜	paŋ́	
榜	praŋ̀	2̄%
牓	paŋ́	
𢗒	bruŋ́	
玤	bruŋ́	
㭋	bruŋ́	
蚌	bruŋ́	
棒	bruŋ́	
棓	bıū	
棓	bruŋ́	
棓	buaı̄	
傍	baŋ̄	
傍	baŋ̀	
蒡	braŋ̄	
蒡	paŋ́	
䎧	bruŋ́	
蜯	bruŋ́	
磅	pxaŋ̄	
磅	prxaŋ̄	
縍	paŋ̄	
謗	paŋ̀	
鎊	pxaŋ̄	
𩦠	byaŋ́	
勹	praū	
包	praū	
佨	praū	
𨚔	paū	
𨚔	prxaū	
苞	praū	
孢	braú	
胞	prxaū	
胞	praū	
𠅬	paū	
煲	paū	
褒	paū	
襃	paū	
齙	braū	
窇	bruŋ̍	
雹	bruŋ̍	
𥭓	bruŋ̍	
𥭓	ʦrxuŋ̍	
䈏	bruŋ̍	
薄	baŋ̍	
𦢊	bruŋ̍	
𦢊	pruŋ̍	
𩅟	bruŋ̍	
㿺	pruŋ̍	
宀	mȷen̄	
𠤏	paú	
𡥀	paú	
𣎼	paú	
保	paú	
珤	paú	
㹱	ʦxıaŋ̍	
㹱	ʦxyuŋ̍	
䎂	paú	
堢	paú	
葆	paú	
堡	paú	
飽	praú	
駂	paú	
𩛁	praú	
褓	paú	
鴇	paú	
緥	paú	
賲	paú	
寶	paú	
勽	baù	
勽	myoń	
抱	baú	
趵	pruŋ̍	
豹	praù	
菢	baù	
袌	baū	
袌	baù	
報	paù	
鉋	braū	
鉋	braù	
𤔣	baù	
靤	braù	
骲	braù	
骲	braú	
骲	bruŋ̍	
骲	pxuŋ̍	
暴	baù	
暴	buŋ̍	2̄%
虣	baù	
鮑	braú	
𡂟	braú	
𢖔	praù	
爆	paŋ̍	
爆	praù	
爆	pruŋ̍	
𧭤	praù	
陂	pıē	
陂	pıè	
杯	puaı̄	
𤰞	pȷē	
卑	pȷē	
盃	puaı̄	
桮	puaı̄	
𢃍	pȷē	
揹	puaı̄	
悲	pıı̄	
碑	pıē	
㽡	pıē	
㗗	pıē	
㗗	pıé	
藣	pıē	
藣	pıè	
鵯	pȷxın̍	
鵯	pȷē	
𩔹	pȷē	
𥶓	pıē	
䥯	bré	
𨰟	pıē	
北	poŋ̍	
𧉥	poŋ̍	
𣎵	pȷxıǹ	
𣎵	prxè	
孛	buaı̀	
孛	buon̍	
邶	buaı̀	
貝	pad̀	
