㖤	lai	1
㖥	gyeŋ	2
㖦	dueŋ	2
㖧	uen	2
㖨	lu	3
㖨	ʣ	2
㖩	seu	2
㖪	guec	1
㖪	cyc	1
㖫	lieŋ	1
㖫	gu	2
㖫	cye	3
㖭	tian	2
㖭	ʣr	1
㖮	luen	1
㖮	aŋ	3
㖶	ie	3
㖷	sj	1
㖷	ti	1
㖷	ʣji	1
㖸	xye	1
㖸	ti	1
㖹	fen	3
㖹	ru	1
㖺	ʦruen	2
㖻	reu	1
㖻	xai	2
㖼	due	2
㖼	lien	1
㖼	mueu	1
㖼	xyen	1
㖽	ʣe	1
㖽	ʣei	1
㖾	e	3
㖾	bei	3
㖿	xie	1
㖿	ʣr	1
㗁	ŋec	3
㗁	duenc	3
㗁	ʣac	0
㗂	sreŋ	2
㗃	uen	2
㗃	ien	3
㗄	man	1
㗄	man	3
㗅	xu	1
㗆	ge	1
㗆	cai	3
㗇	xia	1
㗇	ia	4
㗈	man	3
㗉	bic	3
㗉	ec	3
㗉	lyec	3
㗊	ʣrip	1
㗊	ʦrip	3
㗊	bip	0
㗊	leip	1
㗋	xeu	1
㗌	ʣr	3
㗑	bai	3
㗒	ai	3
㗕	geu	3
㗖	dan	3
㗗	bai	2
㗘	buec	1
㗘	fuc	3
㗙	nap	3
㗙	ʦrup	1
㗙	ʣreup	0
㗚	lit	3
㗛	siau	3
㗜	xieu	3
㗢	dueŋ	3
㗢	xueŋ	1
㗣	ti	3
㗤	ʦuc	3
㗥	cue	3
㗦	lau	1
㗧	ʣrt	3
㗨	ai	2
㗩	sip	0
㗫	ʦiet	3
㗬	ʣra	0
㗬	ʦreu	3
㗰	ʦru	3
㗰	ʦueŋ	1
㗱	ʣip	1
㗲	xuec	3
㗲	xic	3
㗲	ganc	0
㗳	ta	2
㗳	sru	3
㗴	ŋian	1
㗵	xyt	3
㗵	gaŋt	3
㗵	gaŋt	0
㗷	sai	2
㗻	gue	0
㗻	ʣr	3
㗼	ŋiep	3
㗽	xiaŋ	2
㗾	xye	1
㗿	xe	1
㗿	xia	3
㗿	xia	0
㘀	ʣuec	3
㘁	ic	3
㘂	ʦ	1
㘃	rue	3
㘄	leŋ	0
㘅	xian	1
㘆	tai	1
㘇	rueŋ	1
㘈	ŋic	0
㘈	ŋic	3
㘉	ʣrt	3
㘊	i	3
㘋	xian	1
㘌	gyc	3
㘍	ʣit	1
㘍	ʦit	3
㘎	xan	2
㘎	xan	3
㘐	pau	3
㘐	peŋ	2
㘑	li	3
㘓	lan	1
㘔	ʦan	2
㘔	sai	2
㘕	xan	2
㘕	lan	1
㘖	ian	1
㘖	gian	0
㘙	ŋianc	1
㘙	ŋianc	2
㘙	baŋc	3
㘚	xan	2
㘚	sruai	3
㘜	ʦr	2
㘜	ʦreu	1
㘜	ʦru	3
㘝	nianp	2
㘝	niep	3
㘝	nap	3
㘝	lanp	2
㘝	cianp	0
㘞	xue	3
㘞	xan	1
㘠	bic	3
㘠	mic	3
㘠	ganc	2
㘡	xia	1
㘢	ueŋ	2
㘣	syan	1
㘣	yan	1
㘣	ʦruen	1
㘥	ieu	1
㘥	bi	3
㘦	cien	1
㘦	i	0
㘧	xy	3
㘧	fu	0
㘨	neip	3
㘨	ep	2
㘨	ep	0
㘩	bi	3
㘪	xau	3
㘪	lau	1
㘫	gieŋ	2
㘫	xau	1
㘬	au	3
㘬	li	1
㘭	au	3
㘲	gyc	1
㘲	srenc	0
㘴	ʣue	3
㘵	bu	3
㘶	gie	1
㘷	ai	3
㘸	ʣaŋ	3
㘹	ʦ	1
㘺	fa	1
㘿	nie	3
㙀	lieu	3
㙁	maŋc	2
㙁	meic	1
㙁	meic	3
㙁	muc	3
㙁	nac	3
㙂	duei	3
㙄	bi	3
㙅	bau	2
㙇	ʦruc	3
㙈	xan	1
㙈	xia	3
㙉	tian	2
㙊	ʦraŋ	1
㙊	ʣraŋ	3
㙍	due	0
㙏	fuc	3
㙐	due	2
㙑	y	2
㙒	ie	2
㙓	cuei	1
㙔	xan	1
㙕	cuai	3
㙗	cuai	3
㙗	nie	3
㙙	lueŋ	2
㙚	xieŋ	0
㙛	bu	2
㙛	i	1
㙜	ʦr	1
㙜	tai	1
㙝	xie	1
㙞	nie	3
㙟	laŋ	2
㙟	taŋ	1
㙠	i	3
㙠	i	0
㙢	man	1
㙢	men	1
㙢	gyan	3
㙣	ʣraŋ	3
㙤	xia	3
㙥	guen	2
㙦	xie	1
㙨	gi	3
㙨	ci	1
㙩	liau	1
㙪	ie	3
㙪	i	3
㙫	gi	1
㙬	ien	1
㙮	da	0
㙮	da	4
㙯	i	3
㙰	xie	3
㙰	ʦr	3
㙱	xau	3
㙱	geu	2
㙲	yeŋ	2
㙳	xan	2
㙳	xe	1
㙳	can	2
㙴	ʦjan	3
㙴	ʣjan	3
㙴	ʣjie	1
㙵	tai	1
㙵	ʣre	1
㙶	taŋ	1
㙶	xu	1
㙷	ʣrp	1
㙷	maŋp	1
㙸	bau	3
㙸	bue	1
㙸	pu	1
㙹	meŋ	1
㙺	guei	3
㙺	cuei	1
㙻	ʦran	1
㙻	cie	3
㙻	ʣan	3
㙻	ʣeu	0
㙼	lei	2
㙼	s	3
㙼	ʦ	1
㙾	xi	3
㙾	xye	1
㚁	ciau	1
㚁	ciau	3
㚁	cy	3
㚁	ʣ	0
㚂	raŋ	1
㚃	yen	1
㚃	yen	3
㚃	yen	0
㚃	gie	1
㚅	lueŋ	1
㚆	fuc	3
㚆	ʦruenc	0
㚇	ʣueŋ	0
㚇	pau	3
㚉	gu	2
㚊	cai	0
㚌	xua	3
㚌	xue	2
㚌	di	0
㚌	sr	3
㚍	gue	1
㚍	cuei	2
㚍	cuei	3
㚍	i	3
㚏	gau	2
㚏	xy	0
㚐	tau	3
㚐	ru	1
㚒	sjanc	2
㚒	pac	1
㚓	lai	1
㚓	lai	2
㚓	gyan	3
㚔	niep	3
㚔	xip	3
㚕	fu	1
㚕	bi	3
㚕	ie	3
㚕	ian	2
㚖	gauc	2
㚖	anc	0
㚗	ʦie	1
㚗	sie	1
㚘	ban	3
㚘	i	3
㚛	xit	3
㚜	xyc	3
㚜	yc	3
㚜	sueŋc	0
㚝	cuei	1
㚝	ue	2
㚞	meŋ	2
㚞	sren	2
㚞	ieŋ	3
㚞	yen	3
㚟	ʦrue	3
㚟	se	3
㚡	gi	2
㚡	bi	0
㚢	nu	1
㚢	ʣruan	3
㚣	giau	0
㚣	xiau	1
㚤	ic	3
㚥	y	1
㚦	i	1
㚦	giaŋ	3
㚧	ian	2
㚧	xau	3
㚩	ran	2
㚩	ʦr	3
㚪	xau	3
㚪	duen	3
㚫	srap	3
㚫	ʣrap	3
㚭	ieu	1
㚯	xien	1
㚯	xyen	1
㚰	bi	2
㚲	dianp	2
㚲	sjanp	3
㚲	ʦjanp	0
㚴	bu	3
㚶	s	3
㚷	enr	2
㚷	nai	2
㚸	s	0
㚹	mau	2
㚺	yen	3
㚻	gi	0
㚽	ciau	2
㚿	pau	1
㛂	nue	2
㛃	gie	1
㛄	i	0
㛅	enj	3
㛆	due	2
㛆	due	3
㛊	due	2
㛍	ciep	3
㛏	eu	3
㛏	cieu	1
㛐	sau	2
㛑	ʦan	3
㛒	deu	3
㛔	peŋ	1
㛔	gi	1
㛕	i	3
㛕	ʦrua	2
㛖	sue	0
㛗	ʣue	3
㛗	ʦie	0
㛗	lue	3
㛘	puet	3
㛙	cie	3
㛙	cien	1
㛙	sren	2
㛙	sren	3
㛚	tueŋ	2
㛚	ruei	2
㛛	xien	3
㛛	ʣren	3
㛜	ieu	1
㛝	bei	3
㛝	beŋ	3
㛞	lueŋ	3
㛣	yen	1
㛥	tap	3
㛦	lan	2
㛧	man	2
㛨	ciaŋ	2
㛩	ʣreu	1
㛪	ian	3
㛪	yan	1
㛬	lu	3
㛮	sau	2
㛮	sreŋ	0
㛯	mian	2
㛱	ruei	3
㛱	uei	2
㛱	dan	3
㛱	lan	2
㛲	fa	3
㛳	ʦra	3
㛳	i	3
㛴	nau	2
㛴	xan	2
㛶	ʦreu	1
㛶	tan	1
㛶	tan	3
㛶	sra	0
㛸	sru	3
㛸	ʣe	1
㛹	pian	1
㛹	ʦruan	1
㛹	ʦruai	2
㛻	cuei	2
㛻	die	1
㛼	srap	3
㛼	ʦrap	0
㛾	xian	1
㛾	teu	3
㛿	ʣr	3
㜃	lian	3
㜃	liau	1
㜃	maŋ	1
㜄	xyen	1
㜄	lue	1
㜅	xyc	3
㜆	mi	3
㜇	xuei	3
㜇	ie	3
㜇	gi	1
㜈	mu	3
㜊	paŋ	3
㜊	ʣran	2
㜋	i	3
㜌	geu	3
㜍	taŋ	1
㜎	xi	0
㜎	xi	3
㜏	yen	1
㜐	sru	3
㜑	fu	1
㜑	pue	1
㜒	i	3
㜓	dap	1
㜕	lian	1
㜖	ʦau	1
㜗	ʦanp	2
㜗	ʦrup	1
㜗	syanp	3
㜘	ʣy	3
㜙	lu	3
㜚	su	3
㜛	nen	3
㜛	ruan	2
㜜	au	3
㜝	ŋan	2
㜝	ŋan	3
㜞	cian	3
㜣	njan	1
㜣	nian	3
㜣	ʦjien	1
㜤	sjen	2
㜤	nian	2
㜥	mai	1
㜥	mue	1
㜦	xan	3
㜦	nie	3
㜦	s	3
㜦	xie	1
㜦	xien	1
㜦	dau	3
㜧	ye	3
㜧	cyeŋ	1
㜨	er	1
㜨	nai	1
㜨	gyan	3
㜩	au	3
㜪	srian	2
㜫	ma	3
㜫	mei	1
㜫	mei	2
㜭	daŋ	0
㜭	gian	2
㜮	lan	3
㜰	yec	3
㜱	dueŋ	3
㜱	ʣr	3
㜲	ueŋ	2
㜲	ieŋ	1
㜳	xuai	1
㜴	meŋ	3
㜵	niau	2
㜶	fan	3
㜷	mi	1
㜷	nai	2
㜷	xian	2
㜸	niet	3
㜹	cy	1
㜹	ti	3
㜺	ʣan	3
㜺	uen	1
㜻	lian	3
㜼	ʣr	1
㜼	ʣr	3
㜽	ʣ	2
㜽	ʦiau	0
㜾	xai	1
㜿	xy	3
㝀	xau	3
㝁	xyen	1
㝁	pai	1
㝁	bei	0
㝂	ʣj	3
㝂	xuen	1
㝃	fan	3
㝃	mian	2
㝃	muan	2
㝄	ʦruen	1
㝄	ci	3
㝄	ruen	3
㝅	geu	3
㝅	ai	3
㝇	ʦruen	1
㝇	srue	3
㝈	luan	1
㝈	lian	1
㝉	ʣru	3
㝉	duei	3
㝊	sreu	2
㝋	liau	1
㝋	liau	2
㝋	lieu	1
㝋	ta	3
㝌	gie	1
㝌	gieu	3
㝌	ʣreu	3
㝌	gien	2
㝍	xie	2
㝍	bi	3
㝎	dieŋ	3
㝎	ian	2
㝏	gie	3
㝏	gau	3
㝐	jueŋ	1
㝐	piau	1
㝑	maŋ	1
㝑	paŋ	1
㝑	y	3
㝑	y	1
㝓	ge	1
㝓	ce	3
㝔	iau	3
㝕	nieŋ	1
㝕	gian	0
㝖	ŋi	1
㝖	ŋien	1
㝗	laŋ	1
㝗	xu	1
㝘	yeŋ	1
㝙	ien	1
㝛	su	3
㝝	lien	1
㝝	su	3
㝞	ia	0
㝞	giau	0
㝟	mau	1
㝟	mau	3
㝟	cuan	0
㝠	mieŋ	1
㝡	ʣuei	3
㝢	y	2
㝣	iet	3
㝣	it	3
㝤	geu	3
㝥	mi	2
㝦	gyen	3
㝦	ia	1
㝧	uen	2
㝩	caŋ	0
㝪	dianp	3
㝪	dieŋp	2
㝫	lueŋ	1
㝬	xu	1
㝭	xieŋ	2
㝮	ʦuei	3
㝯	ciau	1
㝰	mian	1
㝱	meŋ	3
㝲	cien	2
㝴	uan	1
㝵	de	1
㝶	ai	3
㝶	de	1
㝸	bian	3
㝸	ʣruei	3
㝹	neu	1
㝺	lian	1
㝺	lien	1
㝻	gien	2
㝼	y	0
㝼	mian	1
㝽	ʦruei	1
㝽	sruei	2
㝽	ʣruei	2
㝽	xan	0
㝾	ʣue	2
㝿	bue	1
㝿	bue	2
㝿	fu	3
㝿	cian	3
㞁	iau	3
㞂	tuei	2
㞃	gi	1
㞅	gue	2
㞆	gi	2
㞇	uei	2
㞇	duen	3
㞊	xy	3
㞋	nian	2
㞌	yen	3
㞎	ba	2
㞎	fu	1
㞎	pa	1
㞏	ʣrep	1
㞐	gy	0
㞐	xie	2
㞑	uei	2
㞑	meŋ	1
㞒	xi	3
㞒	xie	3
㞒	fu	0
㞓	ci	2
㞓	ci	3
㞓	lu	3
㞔	i	1
㞔	tan	3
㞕	siet	3
㞕	it	3
㞖	ʦ	3
㞗	cieu	1
㞗	lieu	1
㞘	tuen	1
㞘	xian	0
㞙	niau	3
㞙	saŋ	2
㞚	ʦrip	3
㞚	ʣrap	2
㞛	gi	2
㞞	sueŋ	1
㞟	dian	3
㞟	ʦren	0
㞠	lau	1
㞠	liau	1
㞡	ʣran	2
㞤	ien	1
㞤	u	1
㞥	ʦen	1
㞦	gi	2
㞧	xuei	3
㞨	ʣai	2
㞨	ʣ	2
㞩	lan	1
㞪	nau	1
㞫	gy	3
㞫	ʣeu	2
㞬	cien	3
㞭	dai	3
㞯	gie	1
㞰	xy	2
㞰	lian	3
㞲	yeŋ	3
㞳	deu	2
㞴	ʦr	1
㞴	li	1
㞶	mien	2
㞷	xuaŋ	1
㞸	suei	3
㞹	ce	2
㞺	ʣu	1
㞻	xau	3
㞼	ʦreŋ	1
㞼	sreŋ	3
㞼	ʣre	1
㞽	xyet	3
㞾	ni	1
㞾	i	3
㞿	ʦr	3
㞿	ci	1
㟀	lian	1
㟀	peŋ	3
㟁	an	3
㟁	tue	2
㟂	ʦr	2
㟂	mu	2
㟃	s	0
㟄	xiaŋ	1
㟄	tue	3
㟅	ŋiaŋ	1
㟆	xua	1
㟆	liau	1
㟇	ʦue	1
㟇	ʦue	2
㟇	xiau	3
㟈	cieu	1
㟈	ʦruei	3
㟉	lau	1
㟉	xuai	3
㟊	fu	1
㟊	niau	2
㟋	duei	3
㟋	cian	0
㟌	maŋ	1
㟌	li	3
㟍	laŋ	1
㟎	tue	2
㟏	xan	1
㟏	pau	0
㟐	maŋ	2
㟐	tiau	1
㟑	bue	1
㟑	lieu	1
㟓	ci	1
㟔	xan	1
㟖	lueŋ	3
㟘	tiau	1
㟙	lau	2
㟙	ʣe	1
㟙	ʣrai	1
㟚	ci	1
㟛	ʣan	3
㟜	mi	1
㟝	pei	1
㟝	pueu	2
㟞	ʣran	3
㟟	xiaŋ	3
㟠	gaŋ	2
㟢	ci	1
㟤	lu	3
㟤	ieŋ	2
㟦	yen	3
㟦	ʣra	1
㟧	e	3
㟧	nie	3
㟧	xyen	3
㟨	cyan	1
㟩	mien	1
㟩	mien	2
㟩	uen	2
㟪	uei	2
㟫	cyan	1
㟬	sru	2
㟬	seu	2
㟭	mien	1
㟮	tu	0
㟯	e	3
㟰	mieŋ	2
㟰	y	1
㟱	iau	2
㟲	gye	1
㟲	yan	1
㟲	xian	2
㟳	lit	3
㟳	xyant	1
㟴	cuai	3
㟴	cuei	2
㟴	uei	2
㟵	gaŋ	2
㟵	xi	0
㟶	yan	1
㟷	da	4
㟹	lau	1
㟹	sen	0
㟺	leu	1
㟺	lian	3
㟻	cian	3
㟼	au	1
㟼	gieu	0
㟼	ciau	0
㟽	biau	2
㟽	lau	3
㟿	maŋ	1
㟿	maŋ	2
㠀	dau	2
㠂	au	1
㠄	xi	1
㠅	fu	1
㠅	fu	3
㠇	ʣieu	3
㠈	ruen	3
㠉	tueŋ	1
㠋	e	3
㠍	ʣip	1
㠍	ʣiep	1
㠍	ʦip	3
㠎	ci	3
㠎	xiau	0
㠏	xua	1
㠏	ʣeu	0
㠐	giau	3
㠑	ʣuei	3
㠒	biau	2
㠓	meŋ	1
㠔	bai	3
㠕	uei	2
㠖	gi	3
㠖	ŋi	2
㠗	au	3
㠗	ue	3
㠘	y	2
㠙	xau	1
㠚	duei	3
㠚	ʣrue	1
㠚	lieu	1
㠛	uec	3
㠜	ni	3
㠜	ʣrau	3
㠝	ʦuan	1
㠟	li	1
